Roadmap Name,Display Title,Agent,Agent Focus,Type,Order,URL,Related Roadmaps
frontend,Frontend Developer,1,Frontend & Web,role-roadmap,1,https://roadmap.sh/frontend,"full-stack, javascript, nodejs, react, angular, vue, design-system"
html,HTML,1,Frontend & Web,skill-roadmap,,https://roadmap.sh/html,
css,CSS,1,Frontend & Web,skill-roadmap,,https://roadmap.sh/css,
javascript,JavaScript,1,Frontend & Web,skill-roadmap,,https://roadmap.sh/javascript,
typescript,TypeScript,1,Frontend & Web,skill-roadmap,,https://roadmap.sh/typescript,
react,React,1,Frontend & Web,skill-roadmap,2,https://roadmap.sh/react,"frontend, typescript, javascript, angular, vue, nodejs"
vue,Vue.js,1,Frontend & Web,skill-roadmap,,https://roadmap.sh/vue,
angular,Angular,1,Frontend & Web,skill-roadmap,,https://roadmap.sh/angular,
nextjs,Next.js,1,Frontend & Web,skill-roadmap,,https://roadmap.sh/nextjs,
design-system,Design Systems,1,Frontend & Web,skill-roadmap,,https://roadmap.sh/design-system,
backend,Backend Developer,2,Backend & API,role-roadmap,2,https://roadmap.sh/backend,"frontend, full-stack, system-design, python, devops, javascript, nodejs, postgresql-dba"
nodejs,Node.js,2,Backend & API,skill-roadmap,,https://roadmap.sh/nodejs,
python,Python Developer,2,Backend & API,hybrid,7,https://roadmap.sh/python,"backend, devops, golang, javascript, nodejs"
java,Java,2,Backend & API,skill-roadmap,,https://roadmap.sh/java,
golang,Go (Golang),2,Backend & API,skill-roadmap,,https://roadmap.sh/golang,
php,PHP,2,Backend & API,skill-roadmap,,https://roadmap.sh/php,
spring-boot,Spring Boot,2,Backend & API,skill-roadmap,,https://roadmap.sh/spring-boot,
aspnet-core,ASP.NET Core,2,Backend & API,skill-roadmap,,https://roadmap.sh/aspnet-core,
laravel,Laravel,2,Backend & API,skill-roadmap,,https://roadmap.sh/laravel,
api-design,API Design,2,Backend & API,skill-roadmap,,https://roadmap.sh/api-design,
devops,DevOps Engineer,3,DevOps & Infrastructure,role-roadmap,3,https://roadmap.sh/devops,"backend, docker, kubernetes, python, java, golang, javascript, nodejs"
docker,Docker,3,DevOps & Infrastructure,skill-roadmap,14,https://roadmap.sh/docker,"devops, backend, kubernetes, linux, aws"
